RESPONSE,answer,item,list,structure,verb,Participant,accuracy
No,Yes,1,2,move,unacc,1,incorrect
No,Yes,1,2,move,unacc,1,incorrect
No,Yes,1,2,move,unacc,1,incorrect
No,Yes,1,2,move,unacc,1,incorrect
No,Yes,1,2,move,unacc,1,incorrect
Yes,Yes,2,2,move,CP,1,correct
Yes,Yes,2,2,move,CP,1,correct
Yes,Yes,2,2,move,CP,1,correct
Yes,Yes,2,2,move,CP,1,correct
Yes,Yes,2,2,move,CP,1,correct
Yes,No,5,2,nomove,CP,1,incorrect
Yes,No,5,2,nomove,CP,1,incorrect
Yes,No,5,2,nomove,CP,1,incorrect
Yes,No,5,2,nomove,CP,1,incorrect
Yes,No,5,2,nomove,CP,1,incorrect
Yes,Yes,6,2,move,DP,1,correct
Yes,Yes,6,2,move,DP,1,correct
Yes,Yes,6,2,move,DP,1,correct
Yes,Yes,6,2,move,DP,1,correct
Yes,Yes,6,2,move,DP,1,correct
No,Yes,7,2,move,unacc,1,incorrect
No,Yes,7,2,move,unacc,1,incorrect
No,Yes,7,2,move,unacc,1,incorrect
No,Yes,7,2,move,unacc,1,incorrect
No,Yes,7,2,move,unacc,1,incorrect
Yes,Yes,11,2,nomove,CP,1,correct
Yes,Yes,11,2,nomove,CP,1,correct
Yes,Yes,11,2,nomove,CP,1,correct
Yes,Yes,11,2,nomove,CP,1,correct
Yes,Yes,11,2,nomove,CP,1,correct
Yes,Yes,13,2,move,unacc,1,correct
Yes,Yes,13,2,move,unacc,1,correct
Yes,Yes,13,2,move,unacc,1,correct
Yes,Yes,13,2,move,unacc,1,correct
Yes,Yes,13,2,move,unacc,1,correct
Yes,Yes,14,2,move,CP,1,correct
Yes,Yes,14,2,move,CP,1,correct
Yes,Yes,14,2,move,CP,1,correct
Yes,Yes,14,2,move,CP,1,correct
Yes,Yes,14,2,move,CP,1,correct
Yes,Yes,17,2,nomove,unacc,1,correct
Yes,Yes,17,2,nomove,unacc,1,correct
Yes,Yes,17,2,nomove,unacc,1,correct
Yes,Yes,17,2,nomove,unacc,1,correct
Yes,Yes,17,2,nomove,unacc,1,correct
Yes,Yes,19,2,move,unacc,1,correct
Yes,Yes,19,2,move,unacc,1,correct
Yes,Yes,19,2,move,unacc,1,correct
Yes,Yes,19,2,move,unacc,1,correct
Yes,Yes,19,2,move,unacc,1,correct
Yes,Yes,21,2,nomove,DP,1,correct
Yes,Yes,21,2,nomove,DP,1,correct
Yes,Yes,21,2,nomove,DP,1,correct
Yes,Yes,21,2,nomove,DP,1,correct
Yes,Yes,21,2,nomove,DP,1,correct
Yes,Yes,22,2,nomove,unacc,1,correct
Yes,Yes,22,2,nomove,unacc,1,correct
Yes,Yes,22,2,nomove,unacc,1,correct
Yes,Yes,22,2,nomove,unacc,1,correct
Yes,Yes,22,2,nomove,unacc,1,correct
No,No,25,2,move,unacc,1,correct
No,No,25,2,move,unacc,1,correct
No,No,25,2,move,unacc,1,correct
No,No,25,2,move,unacc,1,correct
No,No,25,2,move,unacc,1,correct
Yes,Yes,30,2,move,DP,1,correct
Yes,Yes,30,2,move,DP,1,correct
Yes,Yes,30,2,move,DP,1,correct
Yes,Yes,30,2,move,DP,1,correct
Yes,Yes,30,2,move,DP,1,correct
No,No,31,2,move,unacc,1,correct
No,No,31,2,move,unacc,1,correct
No,No,31,2,move,unacc,1,correct
No,No,31,2,move,unacc,1,correct
No,No,31,2,move,unacc,1,correct
Yes,Yes,32,2,move,CP,1,correct
Yes,Yes,32,2,move,CP,1,correct
Yes,Yes,32,2,move,CP,1,correct
Yes,Yes,32,2,move,CP,1,correct
Yes,Yes,32,2,move,CP,1,correct
Yes,No,33,2,nomove,DP,1,incorrect
Yes,No,33,2,nomove,DP,1,incorrect
Yes,No,33,2,nomove,DP,1,incorrect
Yes,No,33,2,nomove,DP,1,incorrect
Yes,No,33,2,nomove,DP,1,incorrect
Yes,Yes,35,2,nomove,CP,1,correct
Yes,Yes,35,2,nomove,CP,1,correct
Yes,Yes,35,2,nomove,CP,1,correct
Yes,Yes,35,2,nomove,CP,1,correct
Yes,Yes,35,2,nomove,CP,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,37,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,38,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
No,No,39,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
Yes,Yes,43,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,44,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
No,No,46,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,Yes,48,2,filler,none,1,correct
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,No,50,2,filler,none,1,incorrect
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
Yes,Yes,52,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
No,No,53,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
Yes,Yes,58,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,59,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
No,No,62,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
Yes,Yes,64,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,66,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
No,No,68,2,filler,none,1,correct
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,No,69,2,filler,none,1,incorrect
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,Yes,72,2,filler,none,1,correct
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,No,73,2,filler,none,1,incorrect
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,74,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,75,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
Yes,Yes,77,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,78,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,80,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,82,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,84,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,87,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,No,89,2,filler,none,1,correct
No,Yes,1,3,move,DP,2,incorrect
No,Yes,1,3,move,DP,2,incorrect
No,Yes,1,3,move,DP,2,incorrect
No,Yes,1,3,move,DP,2,incorrect
No,Yes,1,3,move,DP,2,incorrect
No,No,5,3,nomove,unacc,2,correct
No,No,5,3,nomove,unacc,2,correct
No,No,5,3,nomove,unacc,2,correct
No,No,5,3,nomove,unacc,2,correct
No,No,5,3,nomove,unacc,2,correct
Yes,Yes,6,3,nomove,CP,2,correct
Yes,Yes,6,3,nomove,CP,2,correct
Yes,Yes,6,3,nomove,CP,2,correct
Yes,Yes,6,3,nomove,CP,2,correct
Yes,Yes,6,3,nomove,CP,2,correct
Yes,Yes,7,3,move,DP,2,correct
Yes,Yes,7,3,move,DP,2,correct
Yes,Yes,7,3,move,DP,2,correct
Yes,Yes,7,3,move,DP,2,correct
Yes,Yes,7,3,move,DP,2,correct
Yes,Yes,11,3,nomove,unacc,2,correct
Yes,Yes,11,3,nomove,unacc,2,correct
Yes,Yes,11,3,nomove,unacc,2,correct
Yes,Yes,11,3,nomove,unacc,2,correct
Yes,Yes,11,3,nomove,unacc,2,correct
Yes,Yes,14,3,move,unacc,2,correct
Yes,Yes,14,3,move,unacc,2,correct
Yes,Yes,14,3,move,unacc,2,correct
Yes,Yes,14,3,move,unacc,2,correct
Yes,Yes,14,3,move,unacc,2,correct
Yes,Yes,17,3,nomove,DP,2,correct
Yes,Yes,17,3,nomove,DP,2,correct
Yes,Yes,17,3,nomove,DP,2,correct
Yes,Yes,17,3,nomove,DP,2,correct
Yes,Yes,17,3,nomove,DP,2,correct
Yes,Yes,19,3,move,DP,2,correct
Yes,Yes,19,3,move,DP,2,correct
Yes,Yes,19,3,move,DP,2,correct
Yes,Yes,19,3,move,DP,2,correct
Yes,Yes,19,3,move,DP,2,correct
Yes,Yes,21,3,move,CP,2,correct
Yes,Yes,21,3,move,CP,2,correct
Yes,Yes,21,3,move,CP,2,correct
Yes,Yes,21,3,move,CP,2,correct
Yes,Yes,21,3,move,CP,2,correct
Yes,Yes,22,3,nomove,DP,2,correct
Yes,Yes,22,3,nomove,DP,2,correct
Yes,Yes,22,3,nomove,DP,2,correct
Yes,Yes,22,3,nomove,DP,2,correct
Yes,Yes,22,3,nomove,DP,2,correct
No,No,25,3,move,DP,2,correct
No,No,25,3,move,DP,2,correct
No,No,25,3,move,DP,2,correct
No,No,25,3,move,DP,2,correct
No,No,25,3,move,DP,2,correct
Yes,Yes,30,3,nomove,CP,2,correct
Yes,Yes,30,3,nomove,CP,2,correct
Yes,Yes,30,3,nomove,CP,2,correct
Yes,Yes,30,3,nomove,CP,2,correct
Yes,Yes,30,3,nomove,CP,2,correct
No,No,31,3,move,DP,2,correct
No,No,31,3,move,DP,2,correct
No,No,31,3,move,DP,2,correct
No,No,31,3,move,DP,2,correct
No,No,31,3,move,DP,2,correct
Yes,Yes,32,3,move,unacc,2,correct
Yes,Yes,32,3,move,unacc,2,correct
Yes,Yes,32,3,move,unacc,2,correct
Yes,Yes,32,3,move,unacc,2,correct
Yes,Yes,32,3,move,unacc,2,correct
Yes,No,33,3,move,CP,2,incorrect
Yes,No,33,3,move,CP,2,incorrect
Yes,No,33,3,move,CP,2,incorrect
Yes,No,33,3,move,CP,2,incorrect
Yes,No,33,3,move,CP,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
Yes,No,37,3,filler,none,2,incorrect
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,38,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
No,No,39,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
Yes,Yes,43,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
No,No,44,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,Yes,48,3,filler,none,2,correct
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
Yes,No,50,3,filler,none,2,incorrect
